PopSize,MutRate,EliteCount,MinObjective,AvgObjective,StdObjective,SuccessRate,AvgRuntime,NumTests,Rank
100.0000,0.2000,5.0000,143.4050,145.7615,1.7608,1.0000,30.0443,10.0000,1.0000
50.0000,0.3000,10.0000,143.1600,145.7705,1.7446,1.0000,30.0343,10.0000,2.0000
50.0000,0.3000,5.0000,143.0850,146.1210,2.3751,1.0000,30.0330,10.0000,3.0000
50.0000,0.2000,10.0000,143.6350,146.1405,1.5963,1.0000,30.0360,10.0000,4.0000
20.0000,0.2000,10.0000,143.1600,146.1645,2.0433,1.0000,30.0303,10.0000,5.0000
100.0000,0.2000,10.0000,143.8850,146.4495,2.4914,1.0000,30.0472,10.0000,6.0000
100.0000,0.3000,5.0000,143.6350,146.4655,2.0808,1.0000,30.0501,10.0000,7.0000
100.0000,0.3000,10.0000,143.4050,146.7210,2.6760,1.0000,30.0485,10.0000,8.0000
20.0000,0.3000,10.0000,143.1600,146.8315,2.1743,1.0000,30.0252,10.0000,9.0000
50.0000,0.1000,1.0000,143.5550,146.8595,2.1298,1.0000,30.0342,10.0000,10.0000
150.0000,0.3000,10.0000,143.6350,146.8865,2.1174,1.0000,30.0535,10.0000,11.0000
20.0000,0.2000,5.0000,144.4900,146.9160,2.0727,1.0000,30.0276,10.0000,12.0000
20.0000,0.3000,1.0000,143.1600,147.0825,2.3898,1.0000,30.0269,10.0000,13.0000
150.0000,0.2000,10.0000,144.5200,147.1330,2.2352,1.0000,30.0693,10.0000,14.0000
150.0000,0.2000,5.0000,143.8850,147.1905,2.4450,1.0000,30.0540,10.0000,15.0000
20.0000,0.2000,1.0000,143.2950,147.2185,1.9988,1.0000,30.0255,10.0000,16.0000
20.0000,0.1000,10.0000,143.1600,147.2820,2.9154,1.0000,30.0279,10.0000,17.0000
20.0000,0.1000,1.0000,143.0850,147.2825,2.3776,1.0000,30.0306,10.0000,18.0000
100.0000,0.1000,10.0000,144.8900,147.3345,2.3640,1.0000,30.0547,10.0000,19.0000
50.0000,0.2000,5.0000,145.3100,147.3710,1.6520,1.0000,30.0352,10.0000,20.0000
50.0000,0.1000,5.0000,143.6350,147.4865,2.3220,1.0000,30.0352,10.0000,21.0000
50.0000,0.2000,1.0000,143.0850,147.4985,2.5198,1.0000,30.0323,10.0000,22.0000
150.0000,0.1000,10.0000,144.5400,147.5645,2.6837,1.0000,30.0673,10.0000,23.0000
100.0000,0.1000,5.0000,144.6600,147.5980,1.7947,1.0000,30.0553,10.0000,24.0000
50.0000,0.1000,10.0000,146.1250,147.7435,2.2596,1.0000,30.0363,10.0000,25.0000
50.0000,0.3000,1.0000,143.4150,147.8995,2.5552,1.0000,30.0381,10.0000,26.0000
20.0000,0.1000,5.0000,146.1950,148.3925,1.4702,1.0000,30.0267,10.0000,27.0000
100.0000,0.2000,1.0000,144.4400,148.6575,3.0138,1.0000,30.0505,10.0000,28.0000
20.0000,0.0500,10.0000,145.4800,148.6650,3.0863,1.0000,30.0267,10.0000,29.0000
100.0000,0.1000,1.0000,143.1600,148.7045,4.1125,1.0000,30.0529,10.0000,30.0000
150.0000,0.3000,5.0000,143.8350,148.7690,3.1863,1.0000,30.0714,10.0000,31.0000
150.0000,0.0500,5.0000,144.7800,148.8040,3.3591,1.0000,30.0583,10.0000,32.0000
50.0000,0.0500,1.0000,146.1800,148.9275,2.4629,1.0000,30.0346,10.0000,33.0000
20.0000,0.0500,5.0000,145.9350,148.9455,2.2910,1.0000,30.0294,10.0000,34.0000
150.0000,0.0500,10.0000,146.2000,149.2940,1.8546,1.0000,30.0605,10.0000,35.0000
150.0000,0.1000,5.0000,144.8750,149.4295,2.6890,1.0000,30.0524,10.0000,36.0000
100.0000,0.0500,5.0000,143.4900,149.6105,3.3837,1.0000,30.0469,10.0000,37.0000
100.0000,0.0500,1.0000,146.9700,149.6445,2.2431,1.0000,30.0450,10.0000,38.0000
20.0000,0.3000,5.0000,146.1700,149.6650,2.2528,1.0000,30.0273,10.0000,39.0000
150.0000,0.1000,1.0000,146.3950,149.8135,2.2376,1.0000,30.0566,10.0000,40.0000
150.0000,0.0500,1.0000,144.3400,149.9655,3.1139,1.0000,30.0625,10.0000,41.0000
100.0000,0.0500,10.0000,147.2400,150.4440,2.4506,1.0000,30.0440,10.0000,42.0000
50.0000,0.0500,5.0000,144.7800,150.6260,3.6354,1.0000,30.0314,10.0000,43.0000
50.0000,0.0500,10.0000,146.3950,150.7880,3.2138,1.0000,30.0345,10.0000,44.0000
20.0000,0.0500,1.0000,146.2250,151.2530,2.7652,1.0000,30.0282,10.0000,45.0000
100.0000,0.3000,1.0000,150.5900,160.0510,5.5618,1.0000,30.0523,10.0000,46.0000
150.0000,0.2000,1.0000,155.6000,160.1900,3.3653,1.0000,30.0579,10.0000,47.0000
150.0000,0.3000,1.0000,154.5200,167.4570,6.5597,1.0000,30.0555,10.0000,48.0000
