Generation,Time,BestObjective,AvgFitness,BestFitness,CacheHitRate
1.0000,0.1094,210.0000,0.0002,0.0047,NaN
2.0000,0.1659,205.9650,0.0007,0.0048,NaN
3.0000,0.2231,199.5300,0.0014,0.0050,NaN
4.0000,0.2808,198.9600,0.0021,0.0050,NaN
5.0000,0.3428,198.9600,0.0026,0.0050,NaN
6.0000,0.4034,198.9600,0.0027,0.0050,NaN
7.0000,0.4622,193.7450,0.0031,0.0051,NaN
8.0000,0.5239,193.7450,0.0033,0.0051,NaN
9.0000,0.5830,190.8250,0.0033,0.0052,NaN
10.0000,0.6386,190.8250,0.0034,0.0052,NaN
11.0000,0.6949,190.7750,0.0038,0.0052,NaN
12.0000,0.7507,189.8050,0.0039,0.0052,NaN
13.0000,0.8079,187.4450,0.0040,0.0053,NaN
14.0000,0.8633,187.4450,0.0041,0.0053,NaN
15.0000,0.9190,187.4450,0.0039,0.0053,NaN
16.0000,0.9733,187.4450,0.0039,0.0053,NaN
17.0000,1.0256,187.4450,0.0039,0.0053,NaN
18.0000,1.0772,176.4450,0.0037,0.0056,NaN
19.0000,1.1296,176.1950,0.0043,0.0056,NaN
20.0000,1.1824,176.1950,0.0041,0.0056,NaN
21.0000,1.2342,176.1950,0.0043,0.0056,NaN
22.0000,1.2862,175.7850,0.0044,0.0057,NaN
23.0000,1.3381,175.7850,0.0042,0.0057,NaN
24.0000,1.3931,163.3900,0.0041,0.0061,NaN
25.0000,1.4450,163.3900,0.0039,0.0061,NaN
26.0000,1.4972,163.3900,0.0045,0.0061,NaN
27.0000,1.5491,163.3900,0.0046,0.0061,NaN
28.0000,1.6007,163.3900,0.0045,0.0061,NaN
29.0000,1.6529,163.3900,0.0045,0.0061,NaN
30.0000,1.7052,163.3900,0.0046,0.0061,NaN
31.0000,1.7575,163.3900,0.0048,0.0061,NaN
32.0000,1.8093,162.7400,0.0049,0.0061,NaN
33.0000,1.8614,162.7400,0.0050,0.0061,NaN
34.0000,1.9136,162.7400,0.0046,0.0061,NaN
35.0000,1.9655,162.7400,0.0049,0.0061,NaN
36.0000,2.0175,162.7400,0.0048,0.0061,NaN
37.0000,2.0693,162.7400,0.0048,0.0061,NaN
38.0000,2.1211,162.7400,0.0050,0.0061,NaN
39.0000,2.1732,162.6700,0.0052,0.0061,NaN
40.0000,2.2255,162.4100,0.0052,0.0061,NaN
41.0000,2.2774,162.4100,0.0054,0.0061,NaN
42.0000,2.3291,162.0350,0.0055,0.0061,NaN
43.0000,2.3900,162.0350,0.0052,0.0061,NaN
44.0000,2.4530,162.0350,0.0054,0.0061,NaN
45.0000,2.5049,162.0350,0.0056,0.0061,NaN
46.0000,2.5587,161.1300,0.0051,0.0062,NaN
47.0000,2.6141,161.1300,0.0052,0.0062,NaN
48.0000,2.6683,160.8850,0.0053,0.0062,NaN
49.0000,2.7202,160.8850,0.0051,0.0062,NaN
50.0000,2.7720,160.8850,0.0055,0.0062,NaN
51.0000,2.8250,160.8850,0.0052,0.0062,NaN
52.0000,2.8766,160.8850,0.0053,0.0062,NaN
53.0000,2.9283,160.3500,0.0052,0.0062,NaN
54.0000,2.9800,160.3500,0.0052,0.0062,NaN
55.0000,3.0321,160.3500,0.0054,0.0062,NaN
56.0000,3.0901,159.9600,0.0053,0.0062,NaN
57.0000,3.1510,157.9750,0.0054,0.0063,NaN
58.0000,3.2117,157.9750,0.0055,0.0063,NaN
59.0000,3.3011,157.7200,0.0054,0.0063,NaN
60.0000,3.3629,157.7200,0.0054,0.0063,NaN
61.0000,3.4150,157.7200,0.0055,0.0063,NaN
62.0000,3.4668,157.7200,0.0052,0.0063,NaN
63.0000,3.5185,157.7200,0.0052,0.0063,NaN
64.0000,3.5703,157.3300,0.0054,0.0063,NaN
65.0000,3.6221,157.3300,0.0050,0.0063,NaN
66.0000,3.6735,157.3300,0.0050,0.0063,NaN
67.0000,3.7254,156.5850,0.0054,0.0063,NaN
68.0000,3.7773,156.5850,0.0054,0.0063,NaN
69.0000,3.8300,156.5850,0.0052,0.0063,NaN
70.0000,3.8817,156.5850,0.0054,0.0063,NaN
71.0000,3.9335,156.5850,0.0058,0.0063,NaN
72.0000,3.9849,154.9300,0.0056,0.0064,NaN
73.0000,4.0367,154.9300,0.0058,0.0064,NaN
74.0000,4.0884,154.9300,0.0057,0.0064,NaN
75.0000,4.1407,154.9300,0.0054,0.0064,NaN
76.0000,4.1927,154.9300,0.0053,0.0064,NaN
77.0000,4.2442,154.9300,0.0056,0.0064,NaN
78.0000,4.2959,154.9300,0.0057,0.0064,NaN
79.0000,4.3478,154.9300,0.0054,0.0064,NaN
80.0000,4.4046,153.5950,0.0059,0.0065,NaN
81.0000,4.4586,153.5950,0.0056,0.0065,NaN
82.0000,4.5104,153.5950,0.0061,0.0065,NaN
83.0000,4.5618,153.5950,0.0056,0.0065,NaN
84.0000,4.6139,153.5950,0.0057,0.0065,NaN
85.0000,4.6664,153.5950,0.0058,0.0065,NaN
86.0000,4.7176,153.5950,0.0060,0.0065,NaN
87.0000,4.7694,153.5950,0.0060,0.0065,NaN
88.0000,4.8210,153.5950,0.0059,0.0065,NaN
89.0000,4.8724,153.5950,0.0063,0.0065,NaN
90.0000,4.9248,153.5950,0.0060,0.0065,NaN
91.0000,4.9767,153.5950,0.0061,0.0065,NaN
92.0000,5.0282,153.5950,0.0061,0.0065,NaN
93.0000,5.0797,153.5950,0.0060,0.0065,NaN
94.0000,5.1321,152.7100,0.0060,0.0065,NaN
95.0000,5.1840,152.7100,0.0062,0.0065,NaN
96.0000,5.2353,152.7100,0.0062,0.0065,NaN
97.0000,5.2867,152.7100,0.0064,0.0065,NaN
98.0000,5.3382,152.7100,0.0058,0.0065,NaN
99.0000,5.3931,152.7100,0.0058,0.0065,NaN
100.0000,5.4445,152.7100,0.0059,0.0065,NaN
101.0000,5.4966,152.7100,0.0062,0.0065,NaN
102.0000,5.5489,152.7100,0.0061,0.0065,NaN
103.0000,5.6008,152.7100,0.0058,0.0065,NaN
104.0000,5.6526,152.7100,0.0060,0.0065,NaN
105.0000,5.7036,152.7100,0.0061,0.0065,NaN
106.0000,5.7548,152.7100,0.0062,0.0065,NaN
107.0000,5.8064,152.7100,0.0057,0.0065,NaN
108.0000,5.8576,152.7100,0.0058,0.0065,NaN
109.0000,5.9084,152.7100,0.0059,0.0065,NaN
110.0000,5.9594,152.7100,0.0061,0.0065,NaN
111.0000,6.0114,151.4800,0.0060,0.0066,NaN
112.0000,6.0639,151.2850,0.0059,0.0066,NaN
113.0000,6.1149,151.2850,0.0063,0.0066,NaN
114.0000,6.1666,151.2850,0.0060,0.0066,NaN
115.0000,6.2178,151.2850,0.0061,0.0066,NaN
116.0000,6.2688,151.2850,0.0060,0.0066,NaN
117.0000,6.3203,151.2850,0.0062,0.0066,NaN
118.0000,6.3757,151.2850,0.0064,0.0066,NaN
119.0000,6.4265,151.2850,0.0060,0.0066,NaN
120.0000,6.4770,151.2850,0.0061,0.0066,NaN
121.0000,6.5290,151.2850,0.0061,0.0066,NaN
122.0000,6.5804,151.2850,0.0058,0.0066,NaN
123.0000,6.6314,151.2850,0.0059,0.0066,NaN
124.0000,6.6829,151.2850,0.0061,0.0066,NaN
125.0000,6.7338,151.2850,0.0061,0.0066,NaN
126.0000,6.7849,151.2850,0.0059,0.0066,NaN
127.0000,6.8361,151.2850,0.0060,0.0066,NaN
128.0000,6.8872,151.2850,0.0058,0.0066,NaN
129.0000,6.9384,151.2850,0.0058,0.0066,NaN
130.0000,6.9895,151.2850,0.0060,0.0066,NaN
131.0000,7.0406,151.2850,0.0063,0.0066,NaN
132.0000,7.0917,151.2850,0.0063,0.0066,NaN
133.0000,7.1430,151.2850,0.0064,0.0066,NaN
134.0000,7.1943,151.2850,0.0062,0.0066,NaN
135.0000,7.2454,150.5550,0.0062,0.0066,NaN
136.0000,7.2968,150.5550,0.0059,0.0066,NaN
137.0000,7.3510,150.5550,0.0062,0.0066,NaN
138.0000,7.4039,150.2600,0.0062,0.0066,NaN
139.0000,7.4558,150.2600,0.0061,0.0066,NaN
140.0000,7.5065,150.2600,0.0060,0.0066,NaN
141.0000,7.5576,150.2600,0.0063,0.0066,NaN
142.0000,7.6085,150.2600,0.0058,0.0066,NaN
143.0000,7.6598,150.2600,0.0062,0.0066,NaN
144.0000,7.7116,150.2600,0.0061,0.0066,NaN
145.0000,7.7625,150.2600,0.0059,0.0066,NaN
146.0000,7.8160,149.9550,0.0062,0.0066,NaN
147.0000,7.8670,149.9550,0.0061,0.0066,NaN
148.0000,7.9185,149.9550,0.0059,0.0066,NaN
149.0000,7.9692,149.9550,0.0062,0.0066,NaN
150.0000,8.0204,149.9550,0.0064,0.0066,NaN
151.0000,8.0727,149.9550,0.0064,0.0066,NaN
152.0000,8.1244,149.9550,0.0060,0.0066,NaN
153.0000,8.1765,149.9550,0.0063,0.0066,NaN
154.0000,8.2282,149.9550,0.0063,0.0066,NaN
155.0000,8.2798,149.9550,0.0062,0.0066,NaN
156.0000,8.3314,149.9550,0.0062,0.0066,NaN
157.0000,8.3848,149.9550,0.0064,0.0066,NaN
158.0000,8.4363,149.9550,0.0063,0.0066,NaN
159.0000,8.4875,149.9550,0.0062,0.0066,NaN
160.0000,8.5389,149.9550,0.0061,0.0066,NaN
161.0000,8.5903,149.9550,0.0062,0.0066,NaN
162.0000,8.6420,149.9550,0.0064,0.0066,NaN
163.0000,8.6938,149.9550,0.0061,0.0066,NaN
164.0000,8.7453,149.9550,0.0061,0.0066,NaN
165.0000,8.7963,149.9550,0.0061,0.0066,NaN
166.0000,8.8481,149.9550,0.0061,0.0066,NaN
167.0000,8.8993,149.9550,0.0065,0.0066,NaN
168.0000,8.9507,149.9550,0.0063,0.0066,NaN
169.0000,9.0022,149.9550,0.0066,0.0066,NaN
