PopSize,MutRate,EliteCount,MinObjective,AvgObjective,StdObjective,SuccessRate,AvgRuntime,NumTests,Rank
150.0000,0.2000,5.0000,143.0850,145.1955,2.3234,1.0000,30.0440,10.0000,1.0000
150.0000,0.2500,15.0000,143.0850,145.3315,1.4529,1.0000,30.0403,10.0000,2.0000
100.0000,0.1500,15.0000,143.0850,145.4760,2.3377,1.0000,30.0368,10.0000,3.0000
300.0000,0.2000,20.0000,143.0850,145.4765,2.3937,1.0000,30.0543,10.0000,4.0000
150.0000,0.2500,20.0000,143.0850,145.4965,1.9126,1.0000,30.0415,10.0000,5.0000
200.0000,0.0500,10.0000,143.0850,145.5245,2.2120,1.0000,30.0456,10.0000,6.0000
100.0000,0.2500,20.0000,143.0850,145.5720,1.4893,1.0000,30.0363,10.0000,7.0000
150.0000,0.2000,20.0000,143.1600,145.5770,1.7237,1.0000,30.0427,10.0000,8.0000
150.0000,0.2000,15.0000,143.0850,145.7165,2.4701,1.0000,30.0426,10.0000,9.0000
200.0000,0.1000,10.0000,143.0850,145.7340,2.0318,1.0000,30.0455,10.0000,10.0000
300.0000,0.1000,10.0000,143.4050,145.8020,1.6831,1.0000,30.0599,10.0000,11.0000
300.0000,0.2500,20.0000,143.2800,145.8185,2.1293,1.0000,30.0627,10.0000,12.0000
150.0000,0.0500,15.0000,143.1600,145.8485,1.6443,1.0000,30.0381,10.0000,13.0000
150.0000,0.2500,10.0000,143.8850,145.8775,1.2189,1.0000,30.0427,10.0000,14.0000
100.0000,0.2000,20.0000,143.0850,145.8955,1.6177,1.0000,30.0369,10.0000,15.0000
300.0000,0.2000,15.0000,143.1600,145.9000,1.9883,1.0000,30.0615,10.0000,16.0000
50.0000,0.1000,15.0000,143.0850,145.9560,1.6808,1.0000,30.0335,10.0000,17.0000
200.0000,0.2000,10.0000,143.1600,145.9735,1.9765,1.0000,30.0514,10.0000,18.0000
100.0000,0.1000,20.0000,143.4050,146.0265,1.7235,1.0000,30.0360,10.0000,19.0000
150.0000,0.2000,10.0000,143.0850,146.0415,1.8118,1.0000,30.0441,10.0000,20.0000
150.0000,0.0500,5.0000,143.0850,146.0470,1.9618,1.0000,32.5108,10.0000,21.0000
100.0000,0.2500,5.0000,143.6350,146.0525,2.1595,1.0000,30.0406,10.0000,22.0000
150.0000,0.0500,10.0000,143.6350,146.0755,1.2397,1.0000,30.0374,10.0000,23.0000
300.0000,0.1500,20.0000,144.4400,146.1030,1.5677,1.0000,30.0599,10.0000,24.0000
150.0000,0.2500,5.0000,143.4050,146.1250,2.2967,1.0000,30.0464,10.0000,25.0000
100.0000,0.0500,20.0000,143.1600,146.1380,2.4895,1.0000,30.0361,10.0000,26.0000
300.0000,0.0500,5.0000,143.1600,146.1415,1.8474,1.0000,30.0547,10.0000,27.0000
50.0000,0.1500,10.0000,143.1600,146.1510,1.7179,1.0000,30.0358,10.0000,28.0000
150.0000,0.1500,5.0000,143.4050,146.1955,1.7330,1.0000,30.0408,10.0000,29.0000
100.0000,0.0500,5.0000,143.2350,146.1990,1.7248,1.0000,30.0350,10.0000,30.0000
100.0000,0.2000,10.0000,143.0850,146.2060,2.6638,1.0000,30.0384,10.0000,31.0000
200.0000,0.2500,15.0000,143.4050,146.2195,1.8161,1.0000,30.0541,10.0000,32.0000
50.0000,0.2500,5.0000,143.0850,146.2485,2.0729,1.0000,30.0341,10.0000,33.0000
200.0000,0.0500,15.0000,143.0850,146.2625,2.0099,1.0000,30.0478,10.0000,34.0000
300.0000,0.0500,15.0000,143.2800,146.2655,2.5251,1.0000,30.0544,10.0000,35.0000
200.0000,0.2500,5.0000,143.0850,146.2900,2.4997,1.0000,30.0487,10.0000,36.0000
300.0000,0.2000,5.0000,143.4050,146.3240,1.9316,1.0000,30.0603,10.0000,37.0000
300.0000,0.0500,10.0000,143.0850,146.3255,2.0356,1.0000,30.0566,10.0000,38.0000
100.0000,0.1500,20.0000,143.6350,146.3280,2.2552,1.0000,30.0384,10.0000,39.0000
100.0000,0.2500,15.0000,143.1600,146.3430,2.1006,1.0000,30.0386,10.0000,40.0000
50.0000,0.1500,20.0000,143.0850,146.3580,2.8142,1.0000,30.0327,10.0000,41.0000
100.0000,0.1000,10.0000,143.1600,146.3965,2.6153,1.0000,30.0348,10.0000,42.0000
300.0000,0.1000,15.0000,144.4400,146.4540,1.7183,1.0000,30.0532,10.0000,43.0000
200.0000,0.2000,15.0000,144.8750,146.4585,1.6261,1.0000,30.0450,10.0000,44.0000
150.0000,0.1000,10.0000,145.4450,146.5570,1.3137,1.0000,30.0395,10.0000,45.0000
50.0000,0.2000,15.0000,143.0850,146.6340,2.2882,1.0000,30.0331,10.0000,46.0000
300.0000,0.0500,20.0000,143.2800,146.6345,2.0589,1.0000,30.0523,10.0000,47.0000
300.0000,0.1500,15.0000,144.4400,146.6400,2.5602,1.0000,30.0616,10.0000,48.0000
50.0000,0.0500,15.0000,143.1600,146.6685,2.6798,1.0000,30.0325,10.0000,49.0000
100.0000,0.0500,10.0000,143.5650,146.7010,2.2599,1.0000,30.0359,10.0000,50.0000
100.0000,0.2500,10.0000,144.8750,146.7115,1.4679,1.0000,30.0380,10.0000,51.0000
50.0000,0.2500,20.0000,143.0850,146.7400,2.8513,1.0000,30.0355,10.0000,52.0000
200.0000,0.2000,20.0000,143.6350,146.7425,2.3482,1.0000,30.0471,10.0000,53.0000
200.0000,0.1000,15.0000,143.0850,146.7540,2.6921,1.0000,30.0465,10.0000,54.0000
300.0000,0.2000,10.0000,143.0850,146.7575,2.2244,1.0000,30.0593,10.0000,55.0000
150.0000,0.1000,20.0000,144.4900,146.7755,1.3956,1.0000,30.0428,10.0000,56.0000
300.0000,0.1500,5.0000,143.2800,146.7925,2.0191,1.0000,30.0579,10.0000,57.0000
300.0000,0.2500,10.0000,144.5200,146.8225,2.2822,1.0000,30.0622,10.0000,58.0000
200.0000,0.1000,5.0000,143.1600,146.8265,2.7154,1.0000,30.0456,10.0000,59.0000
200.0000,0.1000,20.0000,143.4050,146.8325,2.1311,1.0000,30.0447,10.0000,60.0000
50.0000,0.2000,5.0000,143.1600,146.8670,1.7322,1.0000,30.0350,10.0000,61.0000
100.0000,0.1500,5.0000,143.8850,146.8780,3.2308,1.0000,30.0376,10.0000,62.0000
150.0000,0.1500,15.0000,143.1600,146.8975,2.3375,1.0000,30.0399,10.0000,63.0000
200.0000,0.1500,5.0000,144.4900,146.8985,1.8031,1.0000,30.0452,10.0000,64.0000
200.0000,0.2500,10.0000,143.0850,146.9230,3.9674,1.0000,749.1468,10.0000,65.0000
200.0000,0.1500,10.0000,143.4050,146.9305,2.6685,1.0000,30.0454,10.0000,66.0000
150.0000,0.1000,5.0000,144.4900,146.9435,2.4935,1.0000,30.0402,10.0000,67.0000
50.0000,0.2500,10.0000,143.0850,147.0060,2.6182,1.0000,30.0332,10.0000,68.0000
300.0000,0.1000,20.0000,143.4050,147.0130,3.4655,1.0000,30.0549,10.0000,69.0000
50.0000,0.1500,15.0000,143.2800,147.0730,3.3486,1.0000,30.0331,10.0000,70.0000
300.0000,0.2500,5.0000,144.4400,147.1220,2.1379,1.0000,30.0690,10.0000,71.0000
