Generation,Time,BestObjective,AvgFitness,BestFitness,CacheHitRate
1.0000,0.0662,198.7050,0.0002,0.0050,0.0100
2.0000,0.1048,192.1450,0.0006,0.0052,0.0089
3.0000,0.1397,192.1450,0.0012,0.0052,0.0150
4.0000,0.1748,186.7350,0.0021,0.0053,0.0253
5.0000,0.2118,182.8550,0.0021,0.0054,0.0289
6.0000,0.2472,182.2700,0.0026,0.0055,0.0410
7.0000,0.2841,182.2700,0.0033,0.0055,0.0525
8.0000,0.3197,182.2700,0.0032,0.0055,0.0607
9.0000,0.3534,172.5900,0.0036,0.0058,0.0660
10.0000,0.3881,172.5900,0.0038,0.0058,0.0709
11.0000,0.4241,172.5900,0.0036,0.0058,0.0733
12.0000,0.4591,172.2800,0.0037,0.0058,0.0723
13.0000,0.4970,172.2800,0.0039,0.0058,0.0748
14.0000,0.5384,172.2800,0.0037,0.0058,0.0764
15.0000,0.5748,172.2800,0.0036,0.0058,0.0817
16.0000,0.6111,172.2800,0.0039,0.0058,0.0859
17.0000,0.6454,172.2800,0.0039,0.0058,0.0874
18.0000,0.6780,172.1200,0.0038,0.0058,0.0958
19.0000,0.7120,172.1200,0.0041,0.0058,0.1023
20.0000,0.7459,170.9500,0.0042,0.0058,0.1092
21.0000,0.7761,168.2150,0.0043,0.0059,0.1218
22.0000,0.8049,168.2150,0.0048,0.0059,0.1368
23.0000,0.8316,168.2150,0.0050,0.0059,0.1575
24.0000,0.8577,166.5750,0.0052,0.0060,0.1792
25.0000,0.8853,166.5750,0.0054,0.0060,0.1972
26.0000,0.9123,166.5750,0.0052,0.0060,0.2128
27.0000,0.9381,162.0550,0.0051,0.0061,0.2279
28.0000,0.9634,162.0550,0.0051,0.0061,0.2441
29.0000,0.9889,162.0550,0.0050,0.0061,0.2591
30.0000,1.0134,162.0550,0.0051,0.0061,0.2748
31.0000,1.0394,162.0550,0.0054,0.0061,0.2908
32.0000,1.0685,162.0550,0.0051,0.0061,0.3034
33.0000,1.0944,161.9400,0.0050,0.0061,0.3159
34.0000,1.1200,161.9400,0.0047,0.0061,0.3270
35.0000,1.1458,161.9400,0.0047,0.0061,0.3381
36.0000,1.1714,161.9400,0.0046,0.0061,0.3483
37.0000,1.1953,161.9400,0.0051,0.0061,0.3584
38.0000,1.2192,161.9400,0.0050,0.0061,0.3684
39.0000,1.2447,161.9400,0.0050,0.0061,0.3763
40.0000,1.2716,161.9400,0.0054,0.0061,0.3854
41.0000,1.2967,161.9400,0.0054,0.0061,0.3940
42.0000,1.3202,161.9400,0.0057,0.0061,0.4025
43.0000,1.3441,161.7450,0.0055,0.0061,0.4118
44.0000,1.3673,161.7450,0.0056,0.0061,0.4203
45.0000,1.3914,161.7450,0.0058,0.0061,0.4290
46.0000,1.4149,161.7450,0.0055,0.0061,0.4377
47.0000,1.4392,161.2500,0.0056,0.0062,0.4454
48.0000,1.4625,161.2500,0.0056,0.0062,0.4531
49.0000,1.4860,161.2500,0.0057,0.0062,0.4607
50.0000,1.5092,161.2500,0.0056,0.0062,0.4675
51.0000,1.5358,161.2500,0.0057,0.0062,0.4736
52.0000,1.5650,161.2500,0.0056,0.0062,0.4796
53.0000,1.5894,161.2500,0.0055,0.0062,0.4853
54.0000,1.6129,161.2500,0.0056,0.0062,0.4908
55.0000,1.6359,160.8700,0.0059,0.0062,0.4964
56.0000,1.6596,160.8700,0.0058,0.0062,0.5019
57.0000,1.6875,160.8700,0.0057,0.0062,0.5067
58.0000,1.7114,153.6150,0.0056,0.0065,0.5118
59.0000,1.7356,153.6150,0.0056,0.0065,0.5157
60.0000,1.7590,153.6150,0.0059,0.0065,0.5204
61.0000,1.7859,153.6150,0.0051,0.0065,0.5237
62.0000,1.8136,153.6150,0.0054,0.0065,0.5277
63.0000,1.8380,153.6150,0.0051,0.0065,0.5312
64.0000,1.8626,153.6150,0.0047,0.0065,0.5345
65.0000,1.8881,153.6150,0.0048,0.0065,0.5379
66.0000,1.9152,153.6150,0.0048,0.0065,0.5410
67.0000,1.9401,153.6150,0.0054,0.0065,0.5440
68.0000,1.9632,153.6150,0.0061,0.0065,0.5479
69.0000,1.9891,153.6150,0.0059,0.0065,0.5511
70.0000,2.0112,153.6150,0.0062,0.0065,0.5552
71.0000,2.0370,153.0850,0.0060,0.0065,0.5589
72.0000,2.0602,151.6350,0.0059,0.0066,0.5623
73.0000,2.0836,151.6350,0.0061,0.0066,0.5655
74.0000,2.1059,151.6350,0.0059,0.0066,0.5692
75.0000,2.1291,150.5500,0.0061,0.0066,0.5724
76.0000,2.1555,150.5500,0.0060,0.0066,0.5757
77.0000,2.1801,150.5500,0.0061,0.0066,0.5791
78.0000,2.2064,150.5500,0.0061,0.0066,0.5819
79.0000,2.2393,150.2700,0.0060,0.0066,0.5838
80.0000,2.2672,150.2700,0.0059,0.0066,0.5858
81.0000,2.2919,150.2700,0.0056,0.0066,0.5872
82.0000,2.3164,149.2650,0.0059,0.0067,0.5889
83.0000,2.3398,149.2650,0.0059,0.0067,0.5917
84.0000,2.3649,149.2650,0.0059,0.0067,0.5939
85.0000,2.3952,149.2650,0.0058,0.0067,0.5960
86.0000,2.4212,149.2650,0.0060,0.0067,0.5981
87.0000,2.4444,149.2650,0.0061,0.0067,0.6004
88.0000,2.4680,149.2650,0.0059,0.0067,0.6024
89.0000,2.4916,149.2650,0.0061,0.0067,0.6044
90.0000,2.5162,149.2650,0.0060,0.0067,0.6061
91.0000,2.5394,149.2650,0.0061,0.0067,0.6083
92.0000,2.5617,149.2650,0.0063,0.0067,0.6108
93.0000,2.5866,149.2650,0.0062,0.0067,0.6129
94.0000,2.6094,149.2650,0.0062,0.0067,0.6153
95.0000,2.6333,149.2650,0.0058,0.0067,0.6169
96.0000,2.6555,148.6300,0.0063,0.0067,0.6193
97.0000,2.6798,148.6300,0.0060,0.0067,0.6207
98.0000,2.7014,148.6300,0.0063,0.0067,0.6229
99.0000,2.7247,148.2700,0.0061,0.0067,0.6249
100.0000,2.7472,148.2700,0.0062,0.0067,0.6271
101.0000,2.7720,148.2700,0.0063,0.0067,0.6290
102.0000,2.7946,148.2700,0.0063,0.0067,0.6307
103.0000,2.8173,147.9800,0.0060,0.0067,0.6324
104.0000,2.8410,147.9800,0.0058,0.0067,0.6336
105.0000,2.8635,147.9800,0.0062,0.0067,0.6352
106.0000,2.8881,147.9800,0.0061,0.0067,0.6363
107.0000,2.9116,147.9800,0.0061,0.0067,0.6376
108.0000,2.9353,147.9800,0.0061,0.0067,0.6388
109.0000,2.9585,147.9800,0.0061,0.0067,0.6404
110.0000,2.9830,147.9800,0.0061,0.0067,0.6418
111.0000,3.0073,147.9800,0.0058,0.0067,0.6428
112.0000,3.0302,147.9800,0.0064,0.0067,0.6444
113.0000,3.0570,147.9800,0.0057,0.0067,0.6450
114.0000,3.0797,147.9800,0.0062,0.0067,0.6464
115.0000,3.1026,147.9800,0.0063,0.0067,0.6482
116.0000,3.1249,147.9800,0.0062,0.0067,0.6497
117.0000,3.1476,147.3700,0.0060,0.0067,0.6512
118.0000,3.1716,147.3700,0.0063,0.0067,0.6523
119.0000,3.1960,147.3700,0.0060,0.0067,0.6531
120.0000,3.2185,147.3700,0.0064,0.0067,0.6544
121.0000,3.2405,147.3700,0.0063,0.0067,0.6561
122.0000,3.2641,147.3700,0.0063,0.0067,0.6575
123.0000,3.2886,147.3700,0.0060,0.0067,0.6583
124.0000,3.3145,147.3700,0.0064,0.0067,0.6594
125.0000,3.3396,147.3700,0.0067,0.0067,0.6608
126.0000,3.3660,147.3700,0.0063,0.0067,0.6620
127.0000,3.3957,147.3700,0.0058,0.0067,0.6626
128.0000,3.4216,147.3700,0.0063,0.0067,0.6638
129.0000,3.4471,147.3700,0.0062,0.0067,0.6648
130.0000,3.4722,147.3700,0.0063,0.0067,0.6661
131.0000,3.4966,147.3700,0.0066,0.0067,0.6676
132.0000,3.5220,147.3700,0.0063,0.0067,0.6686
133.0000,3.5502,147.3700,0.0058,0.0067,0.6694
134.0000,3.5806,147.3650,0.0063,0.0067,0.6708
135.0000,3.6090,147.3650,0.0058,0.0067,0.6717
136.0000,3.6351,147.3650,0.0062,0.0067,0.6728
137.0000,3.6585,147.3650,0.0066,0.0067,0.6743
138.0000,3.6822,147.3650,0.0065,0.0067,0.6756
139.0000,3.7062,147.3650,0.0064,0.0067,0.6768
140.0000,3.7302,147.3650,0.0063,0.0067,0.6779
141.0000,3.7542,147.3650,0.0063,0.0067,0.6790
142.0000,3.7792,147.3650,0.0062,0.0067,0.6797
143.0000,3.8026,147.3650,0.0065,0.0067,0.6808
144.0000,3.8285,147.2650,0.0064,0.0067,0.6817
145.0000,3.8562,147.2650,0.0062,0.0067,0.6824
146.0000,3.8812,147.2650,0.0064,0.0067,0.6833
147.0000,3.9087,147.2650,0.0062,0.0067,0.6837
