Generation,Time,BestObjective,AvgFitness,BestFitness,CacheHitRate
1.0000,0.0636,209.0500,0.0001,0.0048,0.0067
2.0000,0.0964,204.9800,0.0004,0.0049,0.0244
3.0000,0.1292,197.6850,0.0010,0.0050,0.0250
4.0000,0.1608,197.6850,0.0021,0.0050,0.0320
5.0000,0.1951,195.9850,0.0030,0.0051,0.0378
6.0000,0.2294,195.9850,0.0034,0.0051,0.0410
7.0000,0.2684,195.9850,0.0034,0.0051,0.0408
8.0000,0.3036,181.0000,0.0034,0.0055,0.0385
9.0000,0.3414,181.0000,0.0037,0.0055,0.0487
10.0000,0.3769,181.0000,0.0035,0.0055,0.0527
11.0000,0.4110,181.0000,0.0036,0.0055,0.0578
12.0000,0.4441,170.1450,0.0040,0.0058,0.0708
13.0000,0.4764,170.1450,0.0042,0.0058,0.0871
14.0000,0.5070,170.1450,0.0046,0.0058,0.1071
15.0000,0.5369,169.2650,0.0046,0.0059,0.1342
16.0000,0.5659,169.2650,0.0048,0.0059,0.1529
17.0000,0.5936,169.2650,0.0049,0.0059,0.1730
18.0000,0.6194,168.7400,0.0051,0.0059,0.1954
19.0000,0.6439,168.7400,0.0050,0.0059,0.2197
20.0000,0.6703,168.7400,0.0050,0.0059,0.2419
21.0000,0.6946,168.7400,0.0052,0.0059,0.2652
22.0000,0.7171,168.7400,0.0053,0.0059,0.2890
23.0000,0.7416,168.7400,0.0050,0.0059,0.3061
24.0000,0.7657,164.9700,0.0051,0.0060,0.3232
25.0000,0.7888,164.9700,0.0053,0.0060,0.3400
26.0000,0.8108,164.9700,0.0055,0.0060,0.3573
27.0000,0.8345,164.9700,0.0053,0.0060,0.3712
28.0000,0.8570,164.7700,0.0056,0.0060,0.3862
29.0000,0.8813,164.7700,0.0054,0.0060,0.3978
30.0000,0.9033,164.7700,0.0056,0.0060,0.4101
31.0000,0.9264,163.1450,0.0055,0.0061,0.4215
32.0000,0.9491,163.1450,0.0053,0.0061,0.4315
33.0000,0.9724,163.1450,0.0056,0.0061,0.4410
34.0000,0.9945,162.9450,0.0058,0.0061,0.4516
35.0000,1.0183,162.9450,0.0054,0.0061,0.4598
36.0000,1.0415,162.9450,0.0052,0.0061,0.4672
37.0000,1.0639,162.1250,0.0055,0.0061,0.4747
38.0000,1.0868,162.1250,0.0054,0.0061,0.4807
39.0000,1.1085,162.1250,0.0055,0.0061,0.4883
40.0000,1.1305,162.1250,0.0053,0.0061,0.4951
41.0000,1.1524,162.1250,0.0055,0.0061,0.5022
42.0000,1.1739,162.1250,0.0055,0.0061,0.5084
43.0000,1.1956,162.1250,0.0055,0.0061,0.5145
44.0000,1.2173,162.1250,0.0056,0.0061,0.5207
45.0000,1.2388,158.8700,0.0056,0.0063,0.5272
46.0000,1.2626,158.8700,0.0056,0.0063,0.5325
47.0000,1.2842,158.8700,0.0057,0.0063,0.5376
48.0000,1.3061,158.8700,0.0056,0.0063,0.5426
49.0000,1.3298,158.5650,0.0055,0.0063,0.5471
50.0000,1.3529,158.4550,0.0056,0.0063,0.5514
51.0000,1.3750,158.4550,0.0057,0.0063,0.5559
52.0000,1.3961,158.4550,0.0058,0.0063,0.5608
53.0000,1.4188,158.4550,0.0054,0.0063,0.5648
54.0000,1.4394,158.4550,0.0060,0.0063,0.5701
55.0000,1.4608,157.9900,0.0057,0.0063,0.5742
56.0000,1.4834,157.9900,0.0059,0.0063,0.5777
57.0000,1.5048,157.9900,0.0059,0.0063,0.5816
58.0000,1.5272,157.9900,0.0055,0.0063,0.5844
59.0000,1.5493,157.9900,0.0058,0.0063,0.5872
60.0000,1.5711,157.9900,0.0054,0.0063,0.5903
61.0000,1.5920,157.9900,0.0058,0.0063,0.5940
62.0000,1.6125,157.9900,0.0060,0.0063,0.5978
63.0000,1.6349,157.9900,0.0055,0.0063,0.6000
64.0000,1.6559,156.2000,0.0059,0.0064,0.6035
65.0000,1.6776,156.2000,0.0060,0.0064,0.6064
66.0000,1.6987,156.2000,0.0057,0.0064,0.6093
67.0000,1.7205,156.2000,0.0059,0.0064,0.6120
68.0000,1.7405,156.2000,0.0058,0.0064,0.6155
69.0000,1.7610,156.2000,0.0060,0.0064,0.6187
70.0000,1.7811,156.2000,0.0062,0.0064,0.6223
71.0000,1.8036,156.2000,0.0060,0.0064,0.6244
72.0000,1.8249,156.2000,0.0059,0.0064,0.6267
73.0000,1.8460,156.2000,0.0058,0.0064,0.6291
74.0000,1.8670,156.2000,0.0059,0.0064,0.6317
75.0000,1.8876,156.2000,0.0060,0.0064,0.6345
76.0000,1.9097,156.2000,0.0058,0.0064,0.6363
77.0000,1.9295,155.9250,0.0061,0.0064,0.6394
78.0000,1.9510,155.9250,0.0058,0.0064,0.6413
79.0000,1.9708,155.9250,0.0061,0.0064,0.6441
80.0000,1.9920,155.6650,0.0059,0.0064,0.6463
81.0000,2.0134,155.6650,0.0059,0.0064,0.6485
82.0000,2.0373,155.5100,0.0055,0.0064,0.6498
83.0000,2.0588,155.5100,0.0057,0.0064,0.6514
84.0000,2.0806,155.5100,0.0056,0.0064,0.6527
85.0000,2.1019,155.2500,0.0060,0.0064,0.6545
86.0000,2.1241,155.2500,0.0055,0.0064,0.6556
87.0000,2.1453,155.2500,0.0060,0.0064,0.6576
88.0000,2.1662,155.2500,0.0057,0.0064,0.6592
89.0000,2.1881,155.2500,0.0059,0.0064,0.6605
90.0000,2.2085,155.2500,0.0062,0.0064,0.6626
91.0000,2.2302,155.0350,0.0059,0.0064,0.6640
92.0000,2.2522,155.0350,0.0058,0.0064,0.6652
93.0000,2.2741,155.0350,0.0059,0.0064,0.6664
94.0000,2.2956,155.0350,0.0057,0.0064,0.6674
95.0000,2.3177,155.0350,0.0058,0.0064,0.6688
96.0000,2.3390,154.0000,0.0061,0.0065,0.6709
97.0000,2.3610,154.0000,0.0059,0.0065,0.6717
98.0000,2.3835,154.0000,0.0060,0.0065,0.6727
99.0000,2.4049,153.9800,0.0061,0.0065,0.6742
100.0000,2.4252,153.9800,0.0061,0.0065,0.6762
101.0000,2.4465,152.3850,0.0059,0.0065,0.6778
102.0000,2.4691,152.3850,0.0061,0.0065,0.6791
103.0000,2.4911,152.3850,0.0059,0.0065,0.6800
104.0000,2.5132,152.3850,0.0055,0.0065,0.6810
105.0000,2.5353,152.3850,0.0058,0.0065,0.6819
106.0000,2.5564,152.3850,0.0059,0.0065,0.6832
107.0000,2.5779,152.3750,0.0060,0.0065,0.6845
108.0000,2.5996,152.1600,0.0063,0.0065,0.6856
109.0000,2.6217,152.1600,0.0059,0.0065,0.6863
110.0000,2.6439,152.1600,0.0060,0.0065,0.6874
111.0000,2.6665,152.1600,0.0059,0.0065,0.6882
112.0000,2.6892,152.1500,0.0060,0.0065,0.6891
113.0000,2.7117,151.1000,0.0063,0.0066,0.6901
114.0000,2.7334,151.1000,0.0059,0.0066,0.6909
115.0000,2.7585,151.1000,0.0058,0.0066,0.6913
116.0000,2.7795,151.1000,0.0060,0.0066,0.6926
117.0000,2.8039,151.0900,0.0058,0.0066,0.6924
118.0000,2.8248,151.0900,0.0063,0.0066,0.6936
119.0000,2.8452,151.0900,0.0063,0.0066,0.6950
120.0000,2.8660,151.0900,0.0062,0.0066,0.6963
121.0000,2.8867,151.0900,0.0061,0.0066,0.6974
122.0000,2.9079,151.0900,0.0061,0.0066,0.6983
123.0000,2.9301,151.0900,0.0060,0.0066,0.6990
124.0000,2.9508,151.0900,0.0063,0.0066,0.6999
125.0000,2.9724,151.0900,0.0062,0.0066,0.7007
126.0000,2.9942,151.0900,0.0061,0.0066,0.7013
127.0000,3.0185,151.0900,0.0060,0.0066,0.7018
128.0000,3.0409,151.0900,0.0060,0.0066,0.7027
129.0000,3.0684,151.0900,0.0061,0.0066,0.7034
130.0000,3.0929,151.0900,0.0063,0.0066,0.7045
131.0000,3.1198,151.0900,0.0058,0.0066,0.7054
132.0000,3.1435,151.0900,0.0056,0.0066,0.7059
133.0000,3.1669,151.0900,0.0058,0.0066,0.7065
134.0000,3.1895,151.0900,0.0061,0.0066,0.7078
135.0000,3.2104,151.0900,0.0061,0.0066,0.7089
136.0000,3.2339,151.0900,0.0061,0.0066,0.7093
137.0000,3.2557,151.0900,0.0061,0.0066,0.7103
138.0000,3.2788,151.0900,0.0061,0.0066,0.7116
139.0000,3.3009,151.0900,0.0060,0.0066,0.7124
140.0000,3.3244,148.8400,0.0063,0.0067,0.7133
141.0000,3.3472,148.8400,0.0063,0.0067,0.7141
142.0000,3.3693,148.8400,0.0061,0.0067,0.7152
143.0000,3.3913,148.8400,0.0060,0.0067,0.7163
144.0000,3.4139,148.8400,0.0064,0.0067,0.7171
145.0000,3.4357,148.8400,0.0060,0.0067,0.7178
146.0000,3.4586,148.8400,0.0063,0.0067,0.7183
147.0000,3.4809,148.8400,0.0061,0.0067,0.7189
148.0000,3.5072,148.8400,0.0062,0.0067,0.7195
149.0000,3.5303,148.8400,0.0063,0.0067,0.7201
150.0000,3.5521,148.8400,0.0062,0.0067,0.7208
151.0000,3.5732,148.8400,0.0064,0.0067,0.7219
152.0000,3.5950,148.8400,0.0061,0.0067,0.7226
153.0000,3.6183,148.8400,0.0061,0.0067,0.7230
154.0000,3.6427,148.8400,0.0063,0.0067,0.7236
155.0000,3.6639,148.8400,0.0063,0.0067,0.7247
156.0000,3.6859,148.8400,0.0061,0.0067,0.7252
157.0000,3.7079,148.8400,0.0063,0.0067,0.7263
158.0000,3.7309,148.8400,0.0059,0.0067,0.7268
159.0000,3.7530,148.8400,0.0059,0.0067,0.7274
160.0000,3.7749,148.7200,0.0064,0.0067,0.7284
161.0000,3.7967,148.7200,0.0062,0.0067,0.7291
162.0000,3.8192,148.7200,0.0061,0.0067,0.7298
163.0000,3.8455,148.7200,0.0061,0.0067,0.7304
164.0000,3.8682,148.7200,0.0061,0.0067,0.7311
165.0000,3.9016,148.7200,0.0057,0.0067,0.7314
166.0000,3.9266,148.7200,0.0061,0.0067,0.7319
167.0000,3.9487,148.7200,0.0059,0.0067,0.7324
168.0000,3.9701,148.7200,0.0065,0.0067,0.7332
169.0000,3.9940,148.7200,0.0060,0.0067,0.7334
170.0000,4.0168,148.7200,0.0060,0.0067,0.7338
171.0000,4.0371,148.7200,0.0066,0.0067,0.7347
172.0000,4.0589,148.7200,0.0062,0.0067,0.7350
173.0000,4.0814,148.7200,0.0060,0.0067,0.7354
174.0000,4.1038,148.7200,0.0061,0.0067,0.7359
175.0000,4.1272,148.7200,0.0059,0.0067,0.7359
176.0000,4.1529,148.7200,0.0061,0.0067,0.7362
177.0000,4.1758,148.6700,0.0060,0.0067,0.7365
178.0000,4.1973,148.6700,0.0063,0.0067,0.7371
179.0000,4.2196,148.6700,0.0064,0.0067,0.7377
180.0000,4.2410,148.6700,0.0062,0.0067,0.7383
181.0000,4.2622,148.6700,0.0062,0.0067,0.7389
182.0000,4.2869,148.6700,0.0058,0.0067,0.7394
183.0000,4.3080,148.6700,0.0062,0.0067,0.7399
184.0000,4.3341,148.6700,0.0061,0.0067,0.7401
185.0000,4.3561,148.6700,0.0064,0.0067,0.7405
186.0000,4.3806,148.6700,0.0062,0.0067,0.7407
187.0000,4.4180,148.6700,0.0060,0.0067,0.7409
188.0000,4.4390,148.6700,0.0063,0.0067,0.7414
189.0000,4.4621,148.6700,0.0060,0.0067,0.7417
190.0000,4.4829,148.6700,0.0063,0.0067,0.7422
191.0000,4.5060,148.6700,0.0063,0.0067,0.7428
192.0000,4.5311,148.6700,0.0058,0.0067,0.7429
193.0000,4.5532,148.6700,0.0062,0.0067,0.7430
194.0000,4.5751,148.6700,0.0063,0.0067,0.7434
195.0000,4.5966,147.6100,0.0062,0.0067,0.7438
196.0000,4.6200,147.6100,0.0057,0.0067,0.7439
197.0000,4.6410,147.6100,0.0063,0.0067,0.7444
198.0000,4.6629,147.6100,0.0064,0.0067,0.7450
199.0000,4.6839,147.6100,0.0061,0.0067,0.7454
200.0000,4.7067,147.6100,0.0059,0.0067,0.7455
201.0000,4.7282,147.6100,0.0062,0.0067,0.7461
202.0000,4.7509,147.6100,0.0061,0.0067,0.7462
203.0000,4.7732,147.6100,0.0060,0.0067,0.7464
204.0000,4.7955,147.6100,0.0062,0.0067,0.7466
205.0000,4.8172,147.6100,0.0061,0.0067,0.7468
206.0000,4.8389,147.6100,0.0063,0.0067,0.7471
207.0000,4.8611,147.6100,0.0060,0.0067,0.7474
208.0000,4.8829,147.6100,0.0060,0.0067,0.7476
209.0000,4.9021,147.6100,0.0066,0.0067,0.7484
210.0000,4.9251,147.6100,0.0062,0.0067,0.7485
211.0000,4.9461,147.6100,0.0062,0.0067,0.7489
212.0000,4.9681,147.6100,0.0062,0.0067,0.7493
213.0000,4.9891,147.6100,0.0063,0.0067,0.7497
214.0000,5.0119,147.6100,0.0060,0.0067,0.7497
215.0000,5.0337,147.6100,0.0061,0.0067,0.7500
216.0000,5.0554,147.6100,0.0060,0.0067,0.7503
217.0000,5.0763,147.6100,0.0063,0.0067,0.7506
218.0000,5.0968,147.6100,0.0063,0.0067,0.7510
219.0000,5.1175,147.6100,0.0062,0.0067,0.7516
220.0000,5.1387,147.6100,0.0063,0.0067,0.7519
221.0000,5.1593,147.6100,0.0062,0.0067,0.7523
222.0000,5.1800,147.6100,0.0064,0.0067,0.7528
223.0000,5.1993,147.6100,0.0064,0.0067,0.7535
224.0000,5.2210,147.6100,0.0061,0.0067,0.7540
225.0000,5.2418,147.6100,0.0060,0.0067,0.7545
226.0000,5.2619,147.6100,0.0061,0.0067,0.7550
227.0000,5.2826,147.6100,0.0062,0.0067,0.7556
228.0000,5.3035,147.6100,0.0062,0.0067,0.7560
229.0000,5.3257,147.6100,0.0062,0.0067,0.7564
230.0000,5.3471,147.6100,0.0061,0.0067,0.7569
231.0000,5.3675,147.6100,0.0064,0.0067,0.7573
232.0000,5.3872,147.6100,0.0064,0.0067,0.7579
233.0000,5.4072,147.6100,0.0061,0.0067,0.7585
234.0000,5.4283,147.6100,0.0063,0.0067,0.7589
235.0000,5.4495,147.6100,0.0063,0.0067,0.7594
236.0000,5.4719,147.6100,0.0059,0.0067,0.7595
237.0000,5.4924,147.6100,0.0064,0.0067,0.7601
238.0000,5.5147,147.6100,0.0062,0.0067,0.7604
239.0000,5.5368,147.6100,0.0058,0.0067,0.7608
240.0000,5.5575,147.6100,0.0063,0.0067,0.7614
241.0000,5.5792,147.6100,0.0062,0.0067,0.7617
242.0000,5.5992,147.6100,0.0062,0.0067,0.7624
243.0000,5.6183,147.6100,0.0064,0.0067,0.7631
244.0000,5.6395,147.6100,0.0061,0.0067,0.7635
245.0000,5.6600,147.6100,0.0062,0.0067,0.7641
246.0000,5.6808,147.6100,0.0062,0.0067,0.7646
247.0000,5.7009,147.6100,0.0065,0.0067,0.7653
248.0000,5.7210,147.6100,0.0063,0.0067,0.7659
249.0000,5.7424,147.6100,0.0060,0.0067,0.7664
250.0000,5.7621,147.6100,0.0063,0.0067,0.7671
251.0000,5.7838,147.6100,0.0061,0.0067,0.7676
252.0000,5.8043,147.6100,0.0059,0.0067,0.7682
253.0000,5.8239,147.6100,0.0063,0.0067,0.7688
254.0000,5.8443,147.5000,0.0061,0.0067,0.7693
255.0000,5.8656,147.5000,0.0061,0.0067,0.7698
256.0000,5.8865,147.5000,0.0060,0.0067,0.7701
257.0000,5.9070,147.5000,0.0064,0.0067,0.7706
258.0000,5.9397,147.5000,0.0059,0.0067,0.7708
259.0000,5.9680,147.5000,0.0063,0.0067,0.7710
260.0000,5.9916,147.5000,0.0061,0.0067,0.7711
261.0000,6.0145,147.5000,0.0062,0.0067,0.7713
262.0000,6.0360,147.5000,0.0063,0.0067,0.7715
263.0000,6.0581,147.5000,0.0062,0.0067,0.7717
264.0000,6.0797,147.5000,0.0063,0.0067,0.7719
265.0000,6.1020,147.5000,0.0062,0.0067,0.7721
266.0000,6.1256,147.5000,0.0060,0.0067,0.7722
267.0000,6.1483,147.5000,0.0060,0.0067,0.7722
268.0000,6.1736,147.5000,0.0062,0.0067,0.7724
269.0000,6.1978,147.5000,0.0061,0.0067,0.7725
270.0000,6.2203,147.5000,0.0066,0.0067,0.7729
271.0000,6.2456,147.5000,0.0061,0.0067,0.7730
272.0000,6.2686,147.5000,0.0061,0.0067,0.7732
273.0000,6.2904,147.5000,0.0063,0.0067,0.7736
274.0000,6.3114,147.5000,0.0062,0.0067,0.7739
275.0000,6.3350,147.5000,0.0063,0.0067,0.7743
276.0000,6.3577,147.5000,0.0061,0.0067,0.7744
277.0000,6.3801,147.5000,0.0061,0.0067,0.7745
278.0000,6.4018,147.5000,0.0059,0.0067,0.7747
279.0000,6.4230,147.5000,0.0062,0.0067,0.7750
280.0000,6.4446,147.5000,0.0064,0.0067,0.7752
281.0000,6.4655,147.5000,0.0064,0.0067,0.7756
282.0000,6.4856,147.5000,0.0064,0.0067,0.7760
283.0000,6.5057,147.5000,0.0066,0.0067,0.7764
284.0000,6.5273,147.5000,0.0061,0.0067,0.7766
285.0000,6.5471,147.5000,0.0065,0.0067,0.7771
286.0000,6.5682,147.5000,0.0065,0.0067,0.7774
287.0000,6.5888,147.5000,0.0062,0.0067,0.7777
288.0000,6.6097,147.5000,0.0061,0.0067,0.7780
289.0000,6.6298,147.5000,0.0062,0.0067,0.7784
290.0000,6.6506,147.5000,0.0063,0.0067,0.7787
291.0000,6.6717,147.5000,0.0062,0.0067,0.7790
292.0000,6.6925,147.5000,0.0063,0.0067,0.7793
293.0000,6.7120,147.5000,0.0065,0.0067,0.7798
294.0000,6.7319,147.5000,0.0063,0.0067,0.7801
295.0000,6.7515,147.5000,0.0064,0.0067,0.7805
296.0000,6.7724,147.5000,0.0062,0.0067,0.7809
297.0000,6.7926,147.5000,0.0062,0.0067,0.7813
298.0000,6.8129,147.5000,0.0062,0.0067,0.7816
299.0000,6.8317,147.5000,0.0066,0.0067,0.7821
300.0000,6.8520,147.5000,0.0059,0.0067,0.7825
301.0000,6.8724,147.5000,0.0062,0.0067,0.7829
302.0000,6.8913,147.5000,0.0064,0.0067,0.7834
303.0000,6.9121,147.5000,0.0063,0.0067,0.7837
304.0000,6.9313,147.5000,0.0063,0.0067,0.7842
305.0000,6.9521,147.5000,0.0061,0.0067,0.7845
306.0000,6.9718,147.5000,0.0064,0.0067,0.7849
307.0000,6.9915,147.5000,0.0065,0.0067,0.7852
308.0000,7.0118,147.5000,0.0060,0.0067,0.7856
309.0000,7.0321,147.5000,0.0062,0.0067,0.7860
310.0000,7.0512,147.5000,0.0064,0.0067,0.7865
311.0000,7.0711,147.5000,0.0063,0.0067,0.7869
312.0000,7.0918,147.5000,0.0064,0.0067,0.7871
313.0000,7.1115,147.5000,0.0061,0.0067,0.7875
314.0000,7.1312,147.5000,0.0063,0.0067,0.7879
315.0000,7.1515,147.5000,0.0064,0.0067,0.7882
316.0000,7.1716,147.5000,0.0060,0.0067,0.7885
317.0000,7.1915,147.5000,0.0059,0.0067,0.7889
318.0000,7.2110,147.5000,0.0065,0.0067,0.7892
319.0000,7.2307,147.5000,0.0060,0.0067,0.7896
320.0000,7.2500,147.5000,0.0064,0.0067,0.7901
321.0000,7.2703,147.5000,0.0064,0.0067,0.7905
