PopSize,MutRate,EliteCount,MinObjective,AvgObjective,StdObjective,SuccessRate,AvgRuntime,NumTests,Rank
50.0000,0.2000,10.0000,144.4900,145.1770,0.7315,1.0000,30.0351,5.0000,1.0000
50.0000,0.3000,5.0000,143.6350,145.4350,1.5313,1.0000,30.0323,5.0000,2.0000
150.0000,0.3000,10.0000,143.3700,145.5770,2.9030,1.0000,30.0681,5.0000,3.0000
20.0000,0.3000,5.0000,143.4050,145.5930,1.3537,1.0000,30.0274,5.0000,4.0000
50.0000,0.2000,5.0000,144.4400,145.7800,1.4360,1.0000,30.0337,5.0000,5.0000
150.0000,0.3000,5.0000,143.4050,145.9290,1.9014,1.0000,30.0615,5.0000,6.0000
100.0000,0.3000,5.0000,143.8850,146.2570,1.4333,1.0000,30.0561,5.0000,7.0000
100.0000,0.3000,10.0000,143.9000,146.2590,3.0606,1.0000,30.0554,5.0000,8.0000
150.0000,0.2000,10.0000,144.4900,146.2810,2.0488,1.0000,30.0665,5.0000,9.0000
20.0000,0.2000,1.0000,143.6350,146.3910,2.4124,1.0000,30.0317,5.0000,10.0000
20.0000,0.3000,10.0000,144.4400,146.6490,1.3932,1.0000,30.0269,5.0000,11.0000
100.0000,0.1000,5.0000,143.5000,146.6520,2.7412,1.0000,30.0524,5.0000,12.0000
150.0000,0.1000,5.0000,144.8100,146.8590,2.1060,1.0000,30.0781,5.0000,13.0000
20.0000,0.3000,1.0000,144.5200,146.9660,3.0041,1.0000,30.0242,5.0000,14.0000
50.0000,0.2000,1.0000,144.8750,147.0190,2.2580,1.0000,30.0372,5.0000,15.0000
100.0000,0.1000,1.0000,143.8850,147.0580,3.3009,1.0000,30.0437,5.0000,16.0000
100.0000,0.2000,5.0000,145.7350,147.2220,1.8485,1.0000,30.0556,5.0000,17.0000
50.0000,0.1000,10.0000,143.6350,147.3210,2.5845,1.0000,30.0349,5.0000,18.0000
50.0000,0.1000,1.0000,144.5950,147.5740,4.0040,1.0000,30.0338,5.0000,19.0000
20.0000,0.1000,1.0000,143.3350,147.6330,3.2509,1.0000,30.0300,5.0000,20.0000
50.0000,0.3000,10.0000,144.6600,147.7600,2.0032,1.0000,30.0362,5.0000,21.0000
150.0000,0.0500,1.0000,145.3150,147.7890,2.3774,1.0000,30.0745,5.0000,22.0000
100.0000,0.2000,1.0000,143.4050,147.8040,2.7908,1.0000,30.0599,5.0000,23.0000
20.0000,0.2000,10.0000,144.8100,148.1980,4.4269,1.0000,30.0307,5.0000,24.0000
100.0000,0.2000,10.0000,145.7000,148.2480,2.2424,1.0000,30.0435,5.0000,25.0000
20.0000,0.2000,5.0000,144.5150,148.3620,3.3831,1.0000,30.0306,5.0000,26.0000
150.0000,0.1000,10.0000,143.7700,148.4180,5.2706,1.0000,30.0695,5.0000,27.0000
150.0000,0.0500,10.0000,146.9550,148.5370,1.1455,1.0000,30.0753,5.0000,28.0000
50.0000,0.1000,5.0000,144.6350,148.7290,2.9033,1.0000,30.0346,5.0000,29.0000
150.0000,0.2000,5.0000,146.5300,148.8200,1.9928,1.0000,30.0575,5.0000,30.0000
150.0000,0.0500,5.0000,147.5300,148.9020,1.4784,1.0000,30.0831,5.0000,31.0000
50.0000,0.3000,1.0000,144.2350,148.9890,3.1720,1.0000,30.0384,5.0000,32.0000
20.0000,0.1000,5.0000,146.3500,149.3390,4.1919,1.0000,30.0298,5.0000,33.0000
50.0000,0.0500,5.0000,144.5150,149.5130,2.9012,1.0000,30.0387,5.0000,34.0000
100.0000,0.0500,5.0000,145.1100,149.7430,4.1172,1.0000,30.0552,5.0000,35.0000
20.0000,0.0500,1.0000,148.0900,149.9640,1.6755,1.0000,30.0386,5.0000,36.0000
20.0000,0.1000,10.0000,147.8650,149.9840,2.5022,1.0000,30.0286,5.0000,37.0000
50.0000,0.0500,10.0000,146.6850,150.1560,2.2187,1.0000,30.0381,5.0000,38.0000
20.0000,0.0500,10.0000,144.8250,150.3530,5.3235,1.0000,30.0338,5.0000,39.0000
100.0000,0.1000,10.0000,147.2200,150.3660,3.0967,1.0000,30.0586,5.0000,40.0000
100.0000,0.0500,10.0000,147.0100,150.4010,2.9193,1.0000,30.0591,5.0000,41.0000
150.0000,0.1000,1.0000,147.6150,150.5700,3.6796,1.0000,30.0462,5.0000,42.0000
100.0000,0.0500,1.0000,146.9600,151.2000,2.8988,1.0000,30.0509,5.0000,43.0000
20.0000,0.0500,5.0000,147.7450,151.8280,3.4845,1.0000,30.0295,5.0000,44.0000
50.0000,0.0500,1.0000,146.1200,152.9840,5.4025,1.0000,30.0372,5.0000,45.0000
100.0000,0.3000,1.0000,150.4300,160.9730,7.7058,1.0000,30.0441,5.0000,46.0000
150.0000,0.2000,1.0000,152.1400,161.9770,8.0735,1.0000,30.0672,5.0000,47.0000
150.0000,0.3000,1.0000,159.1800,166.2220,4.4979,1.0000,30.0738,5.0000,48.0000
