ConfigID,PopSize,MutRate,EliteCount,TestNum,Objective,MaxSP,Runtime
1.0000,20.0000,0.0500,1.0000,1.0000,150.3600,997.0000,30.0370
1.0000,20.0000,0.0500,1.0000,2.0000,148.3450,997.0000,30.0328
1.0000,20.0000,0.0500,1.0000,3.0000,151.7800,980.0000,30.0389
1.0000,20.0000,0.0500,1.0000,4.0000,151.2450,984.0000,30.0526
1.0000,20.0000,0.0500,1.0000,5.0000,148.0900,992.0000,30.0316
2.0000,20.0000,0.0500,5.0000,1.0000,155.2350,998.0000,30.0367
2.0000,20.0000,0.0500,5.0000,2.0000,155.1950,983.0000,30.0278
2.0000,20.0000,0.0500,5.0000,3.0000,147.7450,998.0000,30.0349
2.0000,20.0000,0.0500,5.0000,4.0000,152.1150,990.0000,30.0238
2.0000,20.0000,0.0500,5.0000,5.0000,148.8500,998.0000,30.0244
3.0000,20.0000,0.0500,10.0000,1.0000,150.4700,994.0000,30.0286
3.0000,20.0000,0.0500,10.0000,2.0000,146.0900,998.0000,30.0313
3.0000,20.0000,0.0500,10.0000,3.0000,152.2050,988.0000,30.0346
3.0000,20.0000,0.0500,10.0000,4.0000,158.1750,977.0000,30.0331
3.0000,20.0000,0.0500,10.0000,5.0000,144.8250,997.0000,30.0412
4.0000,20.0000,0.1000,1.0000,1.0000,146.1950,998.0000,30.0348
4.0000,20.0000,0.1000,1.0000,2.0000,147.1250,978.0000,30.0240
4.0000,20.0000,0.1000,1.0000,3.0000,151.7500,992.0000,30.0329
4.0000,20.0000,0.1000,1.0000,4.0000,143.3350,998.0000,30.0326
4.0000,20.0000,0.1000,1.0000,5.0000,149.7600,998.0000,30.0258
5.0000,20.0000,0.1000,5.0000,1.0000,156.7400,994.0000,30.0302
5.0000,20.0000,0.1000,5.0000,2.0000,146.3500,998.0000,30.0268
5.0000,20.0000,0.1000,5.0000,3.0000,147.8400,998.0000,30.0225
5.0000,20.0000,0.1000,5.0000,4.0000,147.6700,992.0000,30.0469
5.0000,20.0000,0.1000,5.0000,5.0000,148.0950,992.0000,30.0227
6.0000,20.0000,0.1000,10.0000,1.0000,149.8050,1000.0000,30.0222
6.0000,20.0000,0.1000,10.0000,2.0000,150.0100,998.0000,30.0260
6.0000,20.0000,0.1000,10.0000,3.0000,147.8650,998.0000,30.0321
6.0000,20.0000,0.1000,10.0000,4.0000,148.1250,995.0000,30.0338
6.0000,20.0000,0.1000,10.0000,5.0000,154.1150,970.0000,30.0290
7.0000,20.0000,0.2000,1.0000,1.0000,143.6350,998.0000,30.0314
7.0000,20.0000,0.2000,1.0000,2.0000,145.6450,994.0000,30.0234
7.0000,20.0000,0.2000,1.0000,3.0000,144.8750,994.0000,30.0439
7.0000,20.0000,0.2000,1.0000,4.0000,149.2450,997.0000,30.0351
7.0000,20.0000,0.2000,1.0000,5.0000,148.5550,998.0000,30.0245
8.0000,20.0000,0.2000,5.0000,1.0000,145.2550,994.0000,30.0293
8.0000,20.0000,0.2000,5.0000,2.0000,151.9000,976.0000,30.0282
8.0000,20.0000,0.2000,5.0000,3.0000,148.8500,989.0000,30.0316
8.0000,20.0000,0.2000,5.0000,4.0000,151.2900,997.0000,30.0302
8.0000,20.0000,0.2000,5.0000,5.0000,144.5150,997.0000,30.0337
9.0000,20.0000,0.2000,10.0000,1.0000,145.7200,980.0000,30.0328
9.0000,20.0000,0.2000,10.0000,2.0000,155.8800,998.0000,30.0290
9.0000,20.0000,0.2000,10.0000,3.0000,147.5250,1000.0000,30.0307
9.0000,20.0000,0.2000,10.0000,4.0000,147.0550,992.0000,30.0288
9.0000,20.0000,0.2000,10.0000,5.0000,144.8100,998.0000,30.0319
10.0000,20.0000,0.3000,1.0000,1.0000,151.8900,996.0000,30.0257
10.0000,20.0000,0.3000,1.0000,2.0000,147.1750,992.0000,30.0228
10.0000,20.0000,0.3000,1.0000,3.0000,146.6750,1000.0000,30.0256
10.0000,20.0000,0.3000,1.0000,4.0000,144.5200,1000.0000,30.0230
10.0000,20.0000,0.3000,1.0000,5.0000,144.5700,1000.0000,30.0237
11.0000,20.0000,0.3000,5.0000,1.0000,146.3600,1000.0000,30.0233
11.0000,20.0000,0.3000,5.0000,2.0000,143.4050,1000.0000,30.0213
11.0000,20.0000,0.3000,5.0000,3.0000,146.0900,998.0000,30.0240
11.0000,20.0000,0.3000,5.0000,4.0000,146.8550,1000.0000,30.0383
11.0000,20.0000,0.3000,5.0000,5.0000,145.2550,994.0000,30.0303
12.0000,20.0000,0.3000,10.0000,1.0000,147.1050,992.0000,30.0275
12.0000,20.0000,0.3000,10.0000,2.0000,147.9900,994.0000,30.0221
12.0000,20.0000,0.3000,10.0000,3.0000,146.2250,998.0000,30.0312
12.0000,20.0000,0.3000,10.0000,4.0000,147.4850,992.0000,30.0264
12.0000,20.0000,0.3000,10.0000,5.0000,144.4400,997.0000,30.0275
