Run,Final_avgSP,Final_maxSP,Num_Iterations,Total_Time,Best_Iteration,Best_avgSP,Solution
1.000000,143.085000,998.000000,5.000000,35.590712,5.000000,143.085000,[91  108   20  131  163   68  173   90   65  146   30  107]
2.000000,143.085000,998.000000,5.000000,36.577013,3.000000,143.085000,[91  108  173   20   30   90  131   65  146  107  163   68]
3.000000,143.085000,998.000000,5.000000,32.308210,2.000000,143.085000,[91  108  173   20  163   30   90  107  146   65  131   68]
4.000000,143.280000,1000.000000,4.000000,30.399242,4.000000,143.280000,[78   65  177   30  131   20  144  173   87  104   93  146]
5.000000,144.440000,997.000000,5.000000,36.990911,2.000000,144.440000,[91  122   18  121  163   30   52  103  161  107   62  150]
6.000000,143.085000,998.000000,5.000000,37.846028,3.000000,143.085000,[91  108   20  173   30  131   65   68   90  107  163  146]
7.000000,143.280000,1000.000000,6.000000,32.381828,3.000000,143.280000,[78   93  173   20   30  177  131   65   87  104  146  144]
8.000000,143.405000,1000.000000,4.000000,34.752706,3.000000,143.405000,[110  122  173   20  129   30   65   67  177  107  103   61]
9.000000,143.085000,998.000000,5.000000,34.015304,4.000000,143.085000,[91  108  173   20  163  131   30   65   90  107  146   68]
10.000000,143.085000,998.000000,4.000000,33.880177,2.000000,143.085000,[91  108   20  131   30  163  173   90   65  107  146   68]
