Run,Iteration,Time,Objective_avgSP,Objective_maxSP
1.000000,1.000000,6.437697,148.985000,986.000000
1.000000,2.000000,14.230293,146.225000,998.000000
1.000000,3.000000,23.002309,146.225000,998.000000
1.000000,4.000000,29.512785,146.790000,998.000000
1.000000,5.000000,38.986763,147.665000,992.000000
2.000000,1.000000,6.723293,146.225000,998.000000
2.000000,2.000000,15.589406,144.745000,980.000000
2.000000,3.000000,27.310756,147.400000,998.000000
2.000000,4.000000,33.643970,148.885000,998.000000
3.000000,1.000000,8.053560,150.265000,992.000000
3.000000,2.000000,13.573978,147.490000,998.000000
3.000000,3.000000,23.598734,145.700000,998.000000
3.000000,4.000000,28.883176,148.630000,998.000000
3.000000,5.000000,35.083623,148.935000,998.000000
4.000000,1.000000,5.501259,143.885000,998.000000
4.000000,2.000000,17.166864,147.665000,992.000000
4.000000,3.000000,30.062090,146.435000,1000.000000
5.000000,1.000000,7.679391,147.535000,998.000000
5.000000,2.000000,22.227412,143.085000,998.000000
5.000000,3.000000,27.683009,146.225000,998.000000
5.000000,4.000000,37.009236,147.440000,991.000000
6.000000,1.000000,7.557993,143.885000,998.000000
6.000000,2.000000,16.889287,143.280000,1000.000000
6.000000,3.000000,22.360548,146.225000,998.000000
6.000000,4.000000,33.452560,143.405000,1000.000000
7.000000,1.000000,9.311401,146.755000,998.000000
7.000000,2.000000,16.863284,150.265000,992.000000
7.000000,3.000000,25.340493,146.865000,998.000000
7.000000,4.000000,32.951417,147.490000,998.000000
8.000000,1.000000,7.539788,146.675000,1000.000000
8.000000,2.000000,18.979905,144.745000,980.000000
8.000000,3.000000,26.587054,143.405000,1000.000000
8.000000,4.000000,36.035461,143.405000,1000.000000
9.000000,1.000000,8.183954,146.170000,998.000000
9.000000,2.000000,14.638153,147.490000,998.000000
9.000000,3.000000,21.205852,143.885000,998.000000
9.000000,4.000000,32.340676,144.695000,1000.000000
10.000000,1.000000,10.545557,143.405000,1000.000000
10.000000,2.000000,21.223685,146.435000,1000.000000
10.000000,3.000000,30.597111,145.700000,998.000000
